Country,Rank 2024,Rank 1995–2024,ISO,Income Group
Grenada,2.0,6.0,GRD,UM
Guatemala,60.0,17.0,GTM,UM
Guinea,73.0,164.0,GIN,LM
Guinea-Bissau,160.0,165.0,GNB,L
Guyana,157.0,73.0,GUY,H
Haiti,58.0,5.0,HTI,LM
Honduras,75.0,3.0,HND,LM
Hungary,134.0,77.0,HUN,H
India,15.0,9.0,IND,LM
Indonesia,27.0,48.0,IDN,UM
Iraq,91.0,118.0,IRQ,UM
Ireland,148.0,152.0,IRL,H
Islamic Republic of Afghanistan,14.0,19.0,AFG,L
Islamic Republic of Iran,69.0,46.0,IRN,UM
Israel,128.0,114.0,ISR,H
Italy,104.0,16.0,ITA,H
Jamaica,11.0,84.0,JAM,UM
Japan,34.0,71.0,JPN,H
Jordan,165.0,147.0,JOR,LM
Kazakhstan,80.0,122.0,KAZ,UM
Kenya,45.0,39.0,KEN,LM
Kiribati,136.0,161.0,KIR,LM
Kuwait,158.0,174.0,KWT,H
Kyrgyz Republic,70.0,117.0,KGZ,LM
Lao People's Democratic Republic,24.0,66.0,LAO,LM
Latvia,161.0,151.0,LVA,H
Lebanon,64.0,159.0,LBN,LM
Lesotho,149.0,156.0,LSO,LM
Liberia,78.0,168.0,LBR,L
Libya,88.0,4.0,LBY,UM
Lithuania,172.0,146.0,LTU,H
Luxembourg,150.0,126.0,LUX,H
Madagascar,29.0,42.0,MDG,L
Malawi,8.0,25.0,MWI,L
Malaysia,112.0,86.0,MYS,UM
Maldives,144.0,171.0,MDV,UM
Mali,18.0,89.0,MLI,L
Malta,146.0,170.0,MLT,H
Marshall Islands,68.0,135.0,MHL,UM
Mauritania,114.0,112.0,MRT,LM
Mauritius,67.0,129.0,MUS,UM
Mexico,28.0,51.0,MEX,UM
Micronesia,151.0,58.0,FSM,LM
Moldova,156.0,88.0,MDA,UM
Mongolia,130.0,33.0,MNG,UM
Montenegro,120.0,163.0,MNE,UM
Morocco,96.0,83.0,MAR,LM
Mozambique,53.0,23.0,MOZ,L
Myanmar,9.0,2.0,MMR,LM
Namibia,66.0,64.0,NAM,LM
Nepal,6.0,26.0,NPL,LM
Netherlands,81.0,74.0,NLD,H
New Zealand,102.0,142.0,NZL,H
Nicaragua,109.0,8.0,NIC,LM
Niger,5.0,50.0,NER,L
Nigeria,19.0,61.0,NGA,LM
North Macedonia,154.0,97.0,MKD,UM
Norway,145.0,155.0,NOR,H
Oman,74.0,125.0,OMN,H
Pakistan,47.0,15.0,PAK,LM
Panama,44.0,120.0,PAN,H
Papua New Guinea,4.0,63.0,PNG,LM
Paraguay,169.0,102.0,PRY,UM
Peru,54.0,31.0,PER,UM
Philippines,7.0,7.0,PHL,LM
Poland,42.0,81.0,POL,H
Portugal,39.0,27.0,PRT,H
Puerto Rico,127.0,32.0,PRI,H
Qatar,117.0,166.0,QAT,H
Republic of Congo,131.0,136.0,COG,LM
Republic of Korea,46.0,91.0,KOR,H
Romania,84.0,49.0,ROU,H
Russia,51.0,21.0,RUS,H
Rwanda,105.0,95.0,RWA,L
Samoa,137.0,123.0,WSM,UM
Saudi Arabia,36.0,133.0,SAU,H
Senegal,87.0,108.0,SEN,LM
Serbia,173.0,80.0,SRB,UM
Seychelles,115.0,138.0,SYC,H
Sierra Leone,89.0,93.0,SLE,L
Slovak Republic,82.0,111.0,SVK,H
Slovenia,162.0,45.0,SVN,H
Solomon Islands,111.0,96.0,SLB,LM
South Africa,37.0,53.0,ZAF,UM
Spain,20.0,24.0,ESP,H
Sri Lanka,52.0,41.0,LKA,LM
St. Kitts and Nevis,121.0,60.0,KNA,H
St. Lucia,119.0,94.0,LCA,UM
St. Vincent and the Grenadines,1.0,35.0,VCT,UM
Suriname,59.0,59.0,SUR,UM
Sweden,168.0,153.0,SWE,H
Switzerland,108.0,105.0,CHE,H
Tajikistan,107.0,52.0,TJK,LM
Tanzania,23.0,82.0,TZA,LM
Thailand,17.0,22.0,THA,UM
